source_URL,Readers Choice Votes,Readers Choice Category,Title,Author,Total Avg Rating,Number of Ratings,Number of Reviews,Number of Pages,Edition,Book Description,First Published date,Kindle Version and Price,Kindle Price,About the Author
https://www.goodreads.com/book/show/62047984-yellowface?from_choice=true,200722,Fiction,Yellowface,R.F. Kuang,3.87,"252,189","37,032",336,Hardcover,"Athena Liu is a literary darling and June Hayward is literally nobody.White liesWhen Athena dies in a freak accident, June steals her unpublished manuscript and publishes it as her own under the ambiguous name Juniper Song.Dark humourBut as evidence threatens June’s stolen success, she will discover exactly how far she will go to keep what she thinks she deserves.Deadly consequences…What happens next is entirely everyone else’s fault.With its totally immersive first-person voice, Yellowface grapples with questions of diversity, racism, and cultural appropriation, as well as the terrifying alienation of social media. R.F. Kuang’s novel is timely, razor-sharp, and eminently readable.Alternate cover edition of ISBN 9780063250833.",25-May-23,Kindle $14.99,14.99,"Rebecca F. Kuang is a Marshall Scholar, translator, and award-winning, #1 New York Times bestselling author of the Poppy War trilogy and Babel: An Arcane History, among others. She has an MPhil in Chinese Studies from Cambridge and an MSc in Contemporary Chinese Studies from Oxford; she is now pursuing a PhD in East Asian Languages and Literatures at Yale."
https://www.goodreads.com/book/show/61771675-hello-beautiful?from_choice=true,60171,Fiction,Hello Beautiful,Ann Napolitano,4.20,"200,304","19,288",416,Kindle Edition,"An emotionally layered and engrossing story of a family that asks: Can love make a broken person whole?William Waters grew up in a house silenced by tragedy, where his parents could hardly bear to look at him, much less love him. So it’s a relief when his skill on the basketball court earns him a scholarship to college, far away from his childhood home. He soon meets Julia Padavano, a spirited and ambitious young woman who surprises William with her appreciation of his quiet steadiness. With Julia comes her family; she is inseparable from her three younger sisters: Sylvie, the dreamer, is happiest with her nose in a book and imagines a future different from the expected path of wife and mother; Cecelia, the family’s artist; and Emeline, who patiently takes care of all of them. Happily, the Padavanos fold Julia’s new boyfriend into their loving, chaotic household.But then darkness from William’s past surfaces, jeopardizing not only Julia’s carefully orchestrated plans for their future, but the sisters’ unshakeable loyalty to one another. The result is a catastrophic family rift that changes their lives for generations. Will the loyalty that once rooted them be strong enough to draw them back together when it matters most?Vibrating with tenderness, Hello Beautiful is a gorgeous, profoundly moving portrait of what’s possible when we choose to love someone not in spite of who they are, but because of it.",14-Mar-23,Kindle $2.99,2.99,"Ann Napolitano’s new novel, Hello Beautiful, has been named one of the most anticipated books of 2023 by Elle, Books-A-Million, Today, The Week, Apartment Therapy, Goodreads, Lit Hub and more. It will be published by Dial Press on March 14th, 2023. Her novel, Dear Edward, was published in January 2020 and was an instant New York Times bestseller. She is the author of the novels A Good Hard Look and Within Arm’s Reach. She was the Associate Editor of One Story literary magazine from 2014-2020. She received an MFA from New York University; she has taught fiction writing for Brooklyn College’s MFA program, New York University’s School of Continuing and Professional Studies and for Gotham Writers’ Workshop. In November 2019, Ann was long-listed for the Simpson/Joyce Carol Oates Literary Prize.Dear Edward was published by Dial Press in the United States, and by Viking Penguin in the United Kingdom. The novel currently has twenty-six international publishers. It was named one of the best books of 2020 by The Washington Post, The Boston Globe, Real Simple, Fast Company, Women’s World, Parade, LibraryReads and Amazon."
https://www.goodreads.com/book/show/62926992-the-wishing-game?from_choice=true,57702,Fiction,The Wishing Game,Meg Shaffer,4.19,"62,142","10,594",304,Hardcover,"Make a wish. . . .Lucy Hart knows better than anyone what it’s like to grow up without parents who loved her. In a childhood marked by neglect and loneliness, Lucy found her solace in books, namely the Clock Island series by Jack Masterson. Now a twenty-six-year-old teacher’s aide, she is able to share her love of reading with bright, young students, especially seven-year-old Christopher Lamb, who was left orphaned after the tragic death of his parents. Lucy would give anything to adopt Christopher, but even the idea of becoming a family seems like an impossible dream without proper funds and stability.But be careful what you wish for. . . .Just when Lucy is about to give up, Jack Masterson announces he’s finally written a new book. Even better, he’s holding a contest at his home on the real Clock Island, and Lucy is one of the four lucky contestants chosen to compete to win the one and only copy.For Lucy, the chance of winning the most sought-after book in the world means everything to her and Christopher. But first she must contend with ruthless book collectors, wily opponents, and the distractingly handsome (and grumpy) Hugo Reese, the illustrator of the Clock Island books. Meanwhile, Jack “the Mastermind” Masterson is plotting the ultimate twist ending that could change all their lives forever.. . . You might just get it.",30-May-23,Kindle $2.99,2.99,"Meg Shaffer is a film student in TV and Screenwriting at Stephens College, Columbia, Missouri. Her debut novel The Wishing Game is out now!"
https://www.goodreads.com/book/show/63241104-tom-lake?from_choice=true,53470,Fiction,Tom Lake,Ann Patchett,4.13,"127,318","16,108",309,Hardcover,"This is a story about Peter Duke who went on to be a famous actor.This is a story about falling in love with Peter Duke who wasn't famous at all.It's about falling so wildly in love with him – the way one will at twenty-four – that it felt like jumping off a roof at midnight.There was no way to foresee the mess it would come to in the end.It's spring and Lara's three grown daughters have returned to the family orchard. While picking cherries, they beg their mother to tell them the one story they've always longed to hear – of the film star with whom she shared a stage, and a romance, years before.Tom Lake is a meditation on youthful love, married love, and the lives parents have led before their children were born. Both hopeful and elegiac, it explores what it means to be happy even when the world is falling apart.",1-Aug-23,Kindle $15.99,15.99,"Patchett was born in Los Angeles, California. Her mother is the novelist Jeanne Ray.She moved to Nashville, Tennessee when she was six, where she continues to live. Patchett said she loves her home in Nashville with her doctor husband and dog. If asked if she could go any place, that place would always be home. ""Home is ...the stable window that opens out into the imagination.""Patchett attended high school at St. Bernard Academy, a private, non-parochial Catholic school for girls run by the Sisters of Mercy. Following graduation, she attended Sarah Lawrence College and took fiction writing classes with Allan Gurganus, Russell Banks, and Grace Paley. She later attended the Iowa Writers' Workshop at the University of Iowa and the Fine Arts Work Center in Provincetown, Massachusetts, where she met longtime friend Elizabeth McCracken. It was also there that she wrote her first novel, The Patron Saint of Liars.In 2010, when she found that her hometown of Nashville no longer had a good book store, she co-founded Parnassus Books with Karen Hayes; the store opened in November 2011. In 2012, Patchett was on the Time 100 list of most influential people in the world by TIME magazine."
https://www.goodreads.com/book/show/62873996-the-five-star-weekend?from_choice=true,45859,Fiction,The Five-Star Weekend,Elin Hilderbrand,4.11,"116,619","8,141",384,Hardcover,"From the #1 New York Times bestselling author of The Hotel Nantucket After tragedy strikes, Hollis Shaw gathers four friends from different stages in her life to spend an unforgettable weekend on Nantucket.Hollis Shaw’s life seems picture-perfect. She’s the creator of the popular food blog Hungry with Hollis and is married to Matthew, a dreamy heart surgeon. But after she and Matthew get into a heated argument one snowy morning, he leaves for the airport and is killed in a car accident. The cracks in Hollis’s perfect life—her strained marriage and her complicated relationship with her daughter, Caroline—grow deeper.So when Hollis hears about something called a “Five-Star Weekend”—one woman organizes a trip for her best friend from each phase of her life: her teenage years, her twenties, her thirties, and midlife—she decides to host her own Five-Star Weekend on Nantucket. But the weekend doesn’t turn out to be a joyful Hallmark movie.The husband of Hollis’s childhood friend Tatum arranges for Hollis’s first love, Jack Finigan, to spend time with them, stirring up old feelings. Meanwhile, Tatum is forced to play nice with abrasive and elitist Dru-Ann, Hollis’s best friend from UNC Chapel Hill. Dru-Ann’s career as a prominent Chicago sports agent is on the line after her comments about a client’s mental health issues are misconstrued online. Brooke, Hollis’s friend from their thirties, has just discovered that her husband is having an inappropriate relationship with a woman at work. Again! And then there’s Gigi, a stranger to everyone (including Hollis) who reached out to Hollis through her blog. Gigi embodies an unusual grace and, as it hap- pens, has many secrets.The Five-Star Weekend is a surprising and captivating story about friendship, love, and self-discovery set on Nantucket. It will be a weekend like no other.",13-Jun-23,Kindle $14.99,14.99,"Elin Hilderbrand lives on Nantucket with her husband and their three young children. She grew up in Collegeville, Pennsylvania, and traveled extensively before settling on Nantucket, which has been the setting for her five previous novels. Hilderbrand is a graduate of Johns Hopkins University and the graduate fiction workshop at the University of Iowa.Facebook.com/ElinHilderbrandPinterest.com/ElinHilderbrand"
https://www.goodreads.com/book/show/62971668-someone-else-s-shoes?from_choice=true,44333,Fiction,Someone Else's Shoes,Jojo Moyes,3.98,"141,489","12,356",438,Hardcover,"A story of mix-ups, mess-ups and making the most of second chances, this is the new novel from #1 New York Times bestselling author Jojo Moyes, author of Me Before You and The Giver of Stars.Who are you when you are forced to walk in someone else’s shoes?Nisha Cantor lives the globetrotting life of the seriously wealthy, until her husband announces a divorce and cuts her off. Nisha is determined to hang onto her glamorous life. But in the meantime, she must scramble to cope--she doesn’t even have the shoes she was, until a moment ago, standing in.That’s because Sam Kemp – in the bleakest point of her life – has accidentally taken Nisha’s gym bag. But Sam hardly has time to worry about a lost gym bag--she’s struggling to keep herself and her family afloat. When she tries on Nisha’s six-inch high Christian Louboutin red crocodile shoes, the resulting jolt of confidence that makes her realize something must change—and that thing is herself.Full of Jojo Moyes’ signature humor, brilliant storytelling, and warmth, Someone Else’s Shoes is a story about how just one little thing can suddenly change everything.",2-Feb-23,Kindle $14.99,14.99,"Jojo Moyes is a British novelist.Moyes studied at Royal Holloway, University of London. She won a bursary financed by The Independent newspaper to study journalism at City University and subsequently worked for The Independent for 10 years. In 2001 she became a full time novelist. Moyes' novel Foreign Fruit won the Romantic Novelists' Association (RNA) Romantic Novel of the Year in 2004.She is married to journalist Charles Arthur and has three children."
https://www.goodreads.com/book/show/62919793-the-invisible-hour?from_choice=true,24132,Fiction,The Invisible Hour,Alice Hoffman,3.68,"18,533","3,149",272,Hardcover,"The latest New York Times bestseller from beloved author Alice Hoffman celebrates the enduring magic of books and is a “wonderful story of love and growth” (Stephen King).One June day when Mia Jacob can no longer see a way to survive, the power of words saves her. The Scarlet Letter was written almost two hundred years earlier, but it seems to tell the story of Mia’s mother, Ivy, and their life inside the Community—an oppressive cult in western Massachusetts where contact with the outside world is forbidden. But how could this be? How could Nathaniel Hawthorne have so perfectly captured the pain and loss that Mia carries inside her?Through a journey of heartbreak, love, and time, Mia must abandon the rules she was raised with at the Community. As she does, she realizes that reading can transport you to other worlds or bring them to you, and that readers and writers affect one another in mysterious ways. She learns that time is more fluid than she can imagine, and that love is stronger than any chains that bind you.As a girl Mia fell in love with a book. Now as a young woman she falls in love with a brilliant writer as she makes her way back in time. But what if Nathaniel Hawthorne never wrote The Scarlet Letter ? And what if Mia Jacob never found it on the day she planned to die?From “the reigning queen of magical realism” (Kristin Hannah, New York Times bestselling author), this is the story of one woman’s dream. For a little while it came true.",15-Aug-23,Kindle $14.99,14.99,"Alice Hoffman is the author of more than thirty works of fiction, including The World That We Knew; The Marriage of Opposites; The Red Garden; The Museum of Extraordinary Things; The Dovekeepers; Here on Earth, an Oprah’s Book Club selection; and the Practical Magic series, including PracticalMagic; Magic Lessons; The Rules of Magic, a selection of Reese’s Book Club; and The Book of Magic. She lives near Boston."
https://www.goodreads.com/book/show/60784605-maame?from_choice=true,21854,Fiction,Maame,Jessica George,4.08,"62,960","8,664",320,Hardcover,"An alternate cover edition for the ISBN 9781250282521 can be found here.
  Maame (ma-meh) has many meanings in Twi but in my case, it means woman.
It’s fair to say that Maddie’s life in London is far from rewarding. With a mother who spends most of her time in Ghana (yet still somehow manages to be overbearing), Maddie is the primary caretaker for her father, who suffers from advanced stage Parkinson’s. At work, her boss is a nightmare and Maddie is tired of always being the only Black person in every meeting.When her mum returns from her latest trip to Ghana, Maddie leaps at the chance to get out of the family home and finally start living. A self-acknowledged late bloomer, she’s ready to experience some important “firsts”: She finds a flat share, says yes to after-work drinks, pushes for more recognition in her career, and throws herself into the bewildering world of internet dating. But it's not long before tragedy strikes, forcing Maddie to face the true nature of her unconventional family, and the perils—and rewards—of putting her heart on the line.Smart, funny, and deeply affecting, Jessica George's Maame deals with the themes of our time with humor and poignancy: from familial duty and racism, to female pleasure, the complexity of love, and the life-saving power of friendship. Most important, it explores what it feels like to be torn between two homes and cultures―and it celebrates finally being able to find where you belong.""Meeting Maame feels like falling in love for the first time: warm, awkward, joyous, a little bit heartbreaking and, most of all, unforgettable."" —Xochitl Gonzalez, New York Times bestselling author of Olga Dies Dreaming",31-Jan-23,Kindle Unlimited $0.00,0,"Jessica George was born and raised in London to Ghanaian parents and studied English Literature at the University of Sheffield. After working at a literary agency and a theatre, she landed a job in the editorial department of Bloomsbury UK. MAAME is her first novel."
https://www.goodreads.com/book/show/61214136-the-collected-regrets-of-clover?from_choice=true,18050,Fiction,The Collected Regrets of Clover,Mikki Brammer,4.18,"37,341","5,989",320,Hardcover,"What’s the point of giving someone a beautiful death if you can’t give yourself a beautiful life?From the day she watched her kindergarten teacher drop dead during a dramatic telling of Peter Rabbit , Clover Brooks has felt a stronger connection with the dying than she has with the living. After the beloved grandfather who raised her dies alone while she is traveling, Clover becomes a death doula in New York City, dedicating her life to ushering people peacefully through their end-of-life process.Clover spends so much time with the dying that she has no life of her own, until the final wishes of a feisty old woman send Clover on a trip across the country to uncover a forgotten love story––and perhaps, her own happy ending. As she finds herself struggling to navigate the uncharted roads of romance and friendship, Clover is forced to examine what she really wants, and whether she’ll have the courage to go after it.Probing, clever, and hopeful, The Collected Regrets of Clover is perfect for readers of The Midnight Library and Eleanor Oliphant is Completely Fine as it turns the normally taboo subject of death into a reason to celebrate life.",9-May-23,Kindle Unlimited $0.00,0,"Mikki Brammer is from Tasmania, Australia and now lives in New York City by way of France and Spain. She writes about architecture, art and design for publications including Architectural Digest, ELLE Décor, and Dwell. The Collected Regrets of Clover is her first novel."
https://www.goodreads.com/book/show/61246258-pineapple-street?from_choice=true,17864,Fiction,Pineapple Street,Jenny   Jackson,3.60,"115,416","10,915",304,Hardcover,"Darley, the eldest daughter in the well-connected, old money Stockton family, followed her heart, trading her job and her inheritance for motherhood but giving up far too much in the process; Sasha, a middle-class New England girl, has married into the Brooklyn Heights family, and finds herself cast as the arriviste outsider; and Georgiana, the baby of the family, has fallen in love with someone she can’t have and must decide what kind of person she wants to be.  Shot through with the indulgent pleasures of life among New York’s one-percenters, Pineapple Street is an addictive, escapist novel that sparkles with wit. Full of recognizable, lovable—if fallible—characters, it’s about the peculiar unknowability of someone else’s family, the miles between the haves and have-nots, and the insanity of first love—all wrapped in a deliciously funny, sharply observed debut of family, love, and class.",7-Mar-23,Kindle $14.99,14.99,
